"lang"
{
  "Language"    "English"
  "Tokens"
  {   
  
    //TITLE
    "addon_game_name"       "Battleships"
    //=============================================
    //x01-----WEAPONS------------------------------
    //=============================================

    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0101---POISON-------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_poison_bow"                "Poison Vials"
    "DOTA_Tooltip_ability_item_poison_bow_Description"              "<h1>Weapon: Poison Level 1</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Poisons targets, dealing %damage% damage per half-second for %psn_dur% seconds."
    "DOTA_Tooltip_ability_item_poison_bow_Note0"            "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_poison_bow_fire_rate"          "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_poison_bow_dmg"              "DAMAGE:"
    "DOTA_Tooltip_ability_item_poison_bow_range"            "RANGE:"
    "DOTA_Tooltip_ability_item_poison_bow_dps"              "\n<font  size= '3' color='#cc6400'>DPS:</font>"  
    
    "DOTA_Tooltip_ability_item_poison_bow_doubled"            "Double Poison Vials"
    "DOTA_Tooltip_ability_item_poison_bow_doubled_Description"          "<h1>Weapon: Poison Level 1</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Poisons targets, dealing %damage% damage per half-second for %psn_dur% seconds."
    "DOTA_Tooltip_ability_item_poison_bow_doubled_fire_rate"      "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_poison_bow_doubled_dmg"          "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_poison_bow_doubled_range"        "RANGE:"
    "DOTA_Tooltip_ability_item_poison_bow_doubled_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"

    "DOTA_Tooltip_ability_item_poison_two_bow"              "Poison Jugs"
    "DOTA_Tooltip_ability_item_poison_two_bow_Description"            "<h1>Weapon: Poison Level 2</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Poisons targets, dealing %damage% damage per half-second for %psn_dur% seconds."
    "DOTA_Tooltip_ability_item_poison_two_bow_Note0"          "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_poison_two_bow_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_poison_two_bow_dmg"            "DAMAGE:"
    "DOTA_Tooltip_ability_item_poison_two_bow_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_poison_two_bow_dps"            "\n<font  size= '3' color='#cc6400'>DPS:</font>"    

    "DOTA_Tooltip_ability_item_poison_two_bow_doubled"          "Double Poison Jugs"
    "DOTA_Tooltip_ability_item_poison_two_bow_doubled_Description"    "<h1>Weapon: Poison Level 2</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Poisons targets, dealing %damage% damage per half-second for %psn_dur% seconds."
    "DOTA_Tooltip_ability_item_poison_two_bow_doubled_fire_rate"    "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_poison_two_bow_doubled_dmg"        "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_poison_two_bow_doubled_range"      "RANGE:"
    "DOTA_Tooltip_ability_item_poison_two_bow_doubled_dps"        "\n<font  size= '3' color='#cc6400'>DPS:</font>"

    "DOTA_Tooltip_ability_item_poison_three_bow"            "Poison Grenades"
    "DOTA_Tooltip_ability_item_poison_three_bow_Description"          "<h1>Weapon: Poison Level 3</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Poisons targets, dealing %damage% damage per half-second for %psn_dur% seconds."
    "DOTA_Tooltip_ability_item_poison_three_bow_Note0"          "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_poison_three_bow_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_poison_three_bow_dmg"          "DAMAGE:"
    "DOTA_Tooltip_ability_item_poison_three_bow_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_poison_three_bow_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"    

    "DOTA_Tooltip_ability_item_poison_three_bow_doubled"        "Double Poison Grenades"
    "DOTA_Tooltip_ability_item_poison_three_bow_doubled_Description"  "<h1>Weapon: Poison Level 3</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Poisons targets, dealing %damage% damage per half-second for %psn_dur% seconds."
    "DOTA_Tooltip_ability_item_poison_three_bow_doubled_fire_rate"    "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_poison_three_bow_doubled_dmg"      "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_poison_three_bow_doubled_range"      "RANGE:"  
    "DOTA_Tooltip_ability_item_poison_three_bow_doubled_dps"      "\n<font  size= '3' color='#cc6400'>DPS:</font>"    

    "DOTA_Tooltip_ability_item_poison_ult_bow"              "Jar o' Plagues"
    "DOTA_Tooltip_ability_item_poison_ult_bow_Description"            "<h1>Weapon: Ultimate Poison</h1>Poisons targets, dealing %damage% damage per half-second for %psn_dur% seconds."
    "DOTA_Tooltip_ability_item_poison_ult_bow_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_poison_ult_bow_dmg"            "DAMAGE/4:"
    "DOTA_Tooltip_ability_item_poison_ult_bow_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_poison_ult_bow_dps"              "\n<font  size= '3' color='#cc6400'>DPS:</font>"    
    "DOTA_Tooltip_ability_item_poison_ult_bow_Lore"           "Let's see here… You've got ebola, tetanus, rabies… Maybe you should wear some gloves with this one."

    "DOTA_Tooltip_ability_item_poison_ult_bow_rec"            "Jar o' Plagues"
    "DOTA_Tooltip_ability_item_poison_ult_bow_rec_Description"      "<h1>Weapon: Ultimate Poison</h1>Poisons targets, dealing %damage% damage per half-second for %psn_dur% seconds."
    "DOTA_Tooltip_ability_item_poison_ult_bow_rec_fire_rate"      "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_poison_ult_bow_rec_dmg"          "DAMAGE:"
    "DOTA_Tooltip_ability_item_poison_ult_bow_rec_range"        "RANGE:"
    "DOTA_Tooltip_ability_item_poison_ult_bow_rec_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"    
    "DOTA_Tooltip_ability_item_poison_ult_bow_rec_Lore"         "Let's see here… You've got ebola, tetanus, rabies… Maybe you should wear some gloves with this one."
    


    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    //-0102---FIRE---------------------------------
    //~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    "DOTA_Tooltip_ability_item_fire_bow"                "Flimsy Torches"
    "DOTA_Tooltip_ability_item_fire_bow_Description"              "<h1>Weapon: Fire Level 1</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Deals %damage% damage every %fire_rate% seconds to all ships in range."
    "DOTA_Tooltip_ability_item_fire_bow_Note0"              "Buy <font color='#dddddd'>2</font> to collapse to one slot and activate the bonus."
    "DOTA_Tooltip_ability_item_fire_bow_fire_rate"            "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_fire_bow_dmg"              "DAMAGE:"
    "DOTA_Tooltip_ability_item_fire_bow_range"              "RANGE:"
    "DOTA_Tooltip_ability_item_fire_bow_dps"              "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    "DOTA_Tooltip_ability_item_fire_bow_doubled"            "Double Flimsy Torches"
    "DOTA_Tooltip_ability_item_fire_bow_doubled_Description"      "<h1>Weapon: Fire Level 1</h1><b>Doubles Bonus <font color='#007700'>Active</font></b><br>Deals %damage% damage every %fire_rate% seconds to all ships in range."
    "DOTA_Tooltip_ability_item_fire_bow_doubled_Note0"          "Fire damage over time does not stack."
    "DOTA_Tooltip_ability_item_fire_bow_doubled_fire_rate"        "RELOAD DELAY (s):"
    "DOTA_Tooltip_ability_item_fire_bow_doubled_dmg"          "DAMAGE (x2):"
    "DOTA_Tooltip_ability_item_fire_bow_doubled_range"          "RANGE:"
    "DOTA_Tooltip_ability_item_fire_bow_doubled_dps"          "\n<font  size= '3' color='#cc6400'>DPS:</font>"  

    "DOTA_Tooltip_ability_item_fire_two_bow"              "Roman Candles"
    "DOTA_Tooltip_ability_item_fire_two_bow_Description"            "<h1>Weapon: Fire Level 2</h1><b>Doubles Bonus <font color='#770000'>Inactive</font></b><br>Deals %damage% damage every %fire_rate% seconds to all ships in range."
