"addon"
{

	"addon_game_name" 			"Battleships"
	
	"Unassigned"      			"Unassigned Team"
	"Spectator"       			"Spectator Team"
	"Neutrals"        			"Neutral Team"
	"NoTeam"          			"No Team"

	"DOTA_GoodGuys"   			"Southern Alliance"
	"DOTA_BadGuys"    			"Northern Alliance"

	"bs_Objectives"				"Objective:"
	"bs_Weapons"				"Weapons:"
	"bs_Ships"					"Ships:"

	"bs_HowToWin"				"Destroy the Enemy's Base located just outside their Harbor, or destroy both of their Docks, located to the Left and Right of the main base."
	"bs_HowToWeapons"			"Weapons target random enemies in their range. You can buy pairs of weapons in the store, and they'll take up a single slot in your inventory. Weapons at lower tiers are more cost effective, and weapons at higher tiers save space. You can combine all three tiers into an Ultimate Weapon."
	"bs_HowToShips"				"You can upgrade to new ships by heading to the Ships vendor, and purchasing from one of four classes of ships. You'll start with nothing more than a barrel, so upgrade to get bigger boats and better abilities!"

	"bs_Thanks"					"We'd like to give special thanks to the Dota2Modding IRC channel, in particular BMD, Myll, Crazyloon, Hewdrw, JimmyDorry, and Noya for their help. <br /><br />Russian Translations by React and Al1en. <br /><br /> Thanks for playing Battleships! Good Luck, Have Fun, and Don't Die! <br />- radar, WeAreAllBritons, Frood, borgel, and zentrix"
	
	"unstick"						"Unstick"
	
	"game" "Game:"
	"emp_gold_in" "Emp Gold:"
	"creep_spawn_in" "Creeps:"
	"north_gold_each" "North Emp Gold Each:"
	"south_gold_each" "South Emp Gold Each:"
	"zoom_lbl"	"Zoom"
	

	//!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
	//Ship Descriptions
	//!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
	
	"ancient_apparition"	"Paddlewheel Diver"
	"ancient_apparition_desc"	"A simple, maneuverable ship that can dive beneath attacks."
	
	"ancient_apparition"		"Paddlewheel Diver"
	"ancient_apparition_desc"	"A simple, maneuverable ship that can dive beneath attacks."
	
	"ember_spirit"				"Tug Boat"
	"ember_spirit_desc"			"Charge headlong into combat. Snag foes and drag them to their doom."
	
	"disruptor"					"Shore Guard"
	"disruptor_desc"			"Enforce the law on the High Seas and control the movement of vessels in your domain."	
	
	"morphling"					"Speed Boat"
	"morphling_desc"			"Speed in and out of combat using dynamic movement and regeneration."

	"storm_spirit"				"Junk Ship"
	"storm_spirit_desc"			"Use fireworks and call upon thunderclouds to reveal your enemies and strike them down in this traditional style ship made for the South China Sea."
	
	"jakiro"					"Galleon"
	"jakiro_desc"				"Dominate the seas with devastating ranged attacks."
	
	"tidehunter"				"Pontoon Boat"
	"tidehunter_desc"			"A sturdy boat that can hold its ground with defensive abilities."			
	
	"meepo"						"House Boat"
