	//Boats
		
		"DOTA_Tooltip_ability_item_puck_replacement_boat"                 	"Zodiac"

		"DOTA_Tooltip_ability_item_puck_replacement_boat_Description"       "A simple, maneuverable ship that can dive beneath attacks.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Dive: Momentarily dive underwater, avoiding any incoming projectile, and losing vision of your surroundings 
Reckless Speed: Vastly increases movement speed, but decreases manueverability
Batten Down the Hatches: Strengthens the structural integrity of your vessel to provide an armor bonus and health regen bonus "
		"DOTA_Tooltip_ability_item_puck_replacement_boat_Lore"         		"Hey baby, what's your sign?" 
		
		
		"DOTA_Tooltip_ability_item_morphling_replacement_boat"                 	"Speed Boat"
		
		"DOTA_Tooltip_ability_item_morphling_replacement_boat_Description"         "Speed in and out of combat using dynamic movement and regeneration.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Big Wake: Rev your engine for a short burst, thrust forward, and splash enemies with a powerful wake. 
Overcharge: Overcharge your engine, increasing acceleration at the cost of health. Damage continues until the engine cools off. 
Swim Break: Quickly heals your ship as long as you do not take damage and remain still. Any damage taken will leave you stranded in the water, stunned for 3 seconds. "
		
		"DOTA_Tooltip_ability_item_morphling_replacement_boat_Lore"                "Fast..."
		
		"DOTA_Tooltip_ability_item_storm_spirit_replacement_boat"                 	"Junk Ship"
		
		"DOTA_Tooltip_ability_item_storm_spirit_replacement_boat_Description"         "Use fireworks and call upon thunderclouds to reveal your enemies and strike them down.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Cloud Dragon: Flying a red flag is said to bring the favor of the dragon who lives in the clouds. Mark his target and he will attack ships near his target for a time.
Firework Flare: Launch fireworks over an area to give vision of it for a short time.
Compass disruption: The Junk ship is equipped with a superior compass. Activate the compass disruption, and all enemy ships in the area will be forced to face away from you for a moment. "
		
		"DOTA_Tooltip_ability_item_storm_spirit_replacement_boat_Lore"                "Enjoy the breeze upon the deck of the Autumn's Wind."
		
		"DOTA_Tooltip_ability_item_kunkka_replacement_boat"                 	"Shore Guard"

		"DOTA_Tooltip_ability_item_kunkka_replacement_boat_Description"         "Enforce the law on the High Seas and control the movement of vessels in your domain.
		\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Restricted Area: Designate an area as restricted. Any enemies remaining in the restricted area units are launched upward on a torrent of water after a short delay, dealing damage and slowing them.
Stop Right There: After a short delay, recalls target unit to the its initial position from when the spell was cast.
Toss Repossessed Vessel: Summon a repossessed ship which charges at a large area and stuns. Any ally it passes through receives a brief movement bonus, and reduced damage taken. "
		
		"DOTA_Tooltip_ability_item_kunkka_replacement_boat_Lore"                "It doesn't guard the coast, though."
		
		"DOTA_Tooltip_ability_item_tidehunter_replacement_boat"                 	"Pontoon Boat"

		"DOTA_Tooltip_ability_item_tidehunter_replacement_boat_Description"         "A sturdy boat that can hold its ground with defensive abilities.
				\nAbilities:
Pistols: Your crew fires pistols rapidly at random nearby targets.
Head Above Water: Focus the crews' efforts on defence, completely eliminating movement and casting in exchange for a massive armor bonus. 
Net: Immobilize enemies in an area for a short time.
